tweets,clean_tweets,sentiment
"Stop Hindi imposition on kannadigas, we will speak only kannada , respect kannada language,kannadigas, and Karnataka#ಹಿಂದಿಗುಲಾಮಗಿರಿಬೇಡ",stop hindi imposition kannadigas speak kannada respect kannada languagekannadigas karnatakaಹದಗಲಮಗರಬಡ,neutral
"@IsilaPada I'm completely against Hindi Imposition!
It's not a national language, and it can not be!

I support our… https://t.co/RrYxHrnDEJ",completely hindi imposition national language support,neutral
"@KRahul248 @CMofKarnataka I'm completely against Hindi Imposition!
It's not a national language, and it can not be!… https://t.co/44GgrMZ5Cy",completely hindi imposition national language,neutral
"@BASAVARAJU_MDP I'm completely against Hindi Imposition!
It's not a national language, and it can not be!

I suppor… https://t.co/G3WGzsBLko",completely hindi imposition national language suppor,neutral
@Hindigotthilla @narendramodi @AmitShah @RahulGandhi Hindi is language  of invaders stop hindi imposition filthy language of gobbarland,hindi language invaders stop hindi imposition filthy language gobbarland,neutral
@Anees_Speaks @SpreadL67444957 The problem is not Hindi imposition in Karnataka but Urdu imposition and language Jihad by Pi$$lamists.,problem hindi imposition karnataka urdu imposition language jihad pilamists,neutral
"@PalakTiwari_ Who is stopping Hindi language..
We are Just stopping imposition of Hindi language in Non Hindi state",stopping hindi language stopping imposition hindi language hindi state,neutral
"@PalakTiwari_ *Adding clause South Indian never hate hindi language..
They hate imposition of Hindi language",adding clause south indian never hate hindi language hate imposition hindi language,negative
"@LavanyaBallal Well said madam....
To counter the hindi imposition &amp; for the preservation of the native languages l… https://t.co/n2EOY8oei7",well said madam counter hindi imposition amp preservation native languages,neutral
"@Bumblebeejump @mydeen102 @LavanyaBallal Within the context of language, NEP seeks to replace a 2-language formula… https://t.co/4LnWX6qJFC",within context language nep seeks replace 2language formula,neutral
@Marathi__ @Naren_Reddy23 @BJP4India @BJP4Karnataka @naanu_groot @PLEKarnataka @Mariappan0487 If this happened in m… https://t.co/XSIC4mLesy,happened,neutral
"@SanjaySharanu @Sowmyareddyr I agree with using local language.
But people impose kannada in Karnataka!
People shou… https://t.co/zIMBtjjMZL",agree using local language people impose kannada karnataka people shou,neutral
@misfitwalflower @LavanyaBallal Taking Hindi in defence use as an excuse is a backdoor stealth entry of imposition.… https://t.co/Z6ARa6LFH6,taking hindi defence use excuse backdoor stealth entry imposition,neutral
@LavanyaBallal Yeah even I thought the same and then I read what it was about and realised why Hindi is used. It's… https://t.co/7lrPsmr3Gp,yeah even thought read realised hindi used,neutral
"@TuTeraDekhBro @Sowmyareddyr Its our Pride!!! We are not opposing Hindi, we are just hating #Imposition of Hindi!!… https://t.co/JsN9qY9BuW",pride opposing hindi hating imposition hindi,negative
@FellowcitizenES @HMOIndia @DKShivakumar @srinivasiyc @srivatsa This is imposition of Hindi. There must have been a… https://t.co/Fo1Q7P3dp1,imposition hindi must,neutral
"@Austauschbandit English and if not perfect, then little bit of Hindi. The north side whether or not Hindi is regio… https://t.co/v8b8AhZ8yh",english perfect little bit hindi north side whether hindi regio,positive
As much as I hate hindi imposition and stuff I hate how people just get mad at me when few Hindi words slip in in m… https://t.co/vZjzWBcHBL,much hate hindi imposition stuff hate people get mad hindi words slip,negative
@vvv_vino2003 @Prasath04249752 @polimernews Learning more language is individuals https://t.co/RJGsjriteA we should… https://t.co/TbEhktbSjH,learning language individuals,neutral
"Somedays ago , Everywhere we see Hindi Imposition Protest all over the Tamilnadu., Many youngsters Posted Hindi Ter… https://t.co/aULTSKKVH1",somedays ago everywhere see hindi imposition protest tamilnadu many youngsters posted hindi,neutral
@TimesNow @RahulGandhi Jallikatu and the Hindi language imposition are the problems created by this Congress.,jallikatu hindi language imposition problems created congress,neutral
@chennai @CMOTamilNadu Respected sir. Earlier we fought British to get our freedom but i wish we dobt have to do th… https://t.co/mNZc8SUrIS,respected sir earlier fought british get freedom wish dobt th,neutral
"Why all the Tamil &amp; Kannada language warriors who cry Hindi imposition, in return impose their languages on Tulu pe… https://t.co/8aLRFxFpWu",tamil amp kannada language warriors cry hindi imposition return impose languages tulu,neutral
Or hindi speaking people only travelling in ur flights other state and other language speaking people's also paying… https://t.co/ZeVatd0FnA,hindi speaking people travelling ur flights state language speaking peoples paying,neutral
@AdityaRajKaul If u analyse then u will understand रहात irritants need to be removed such as imposition of hindi la… https://t.co/wAYap8t8UX,analyse understand रहत irritants need removed imposition hindi,neutral
@Sai_6789 If u analyse then u will understand रहात irritants need to be removed such as imposition of hindi languag… https://t.co/2VcpVgkj9G,analyse understand रहत irritants need removed imposition hindi languag,neutral
@DostKhan_Jammu @eOrganiser If u analyse then u will understand रहात irritants need to be removed such as impositio… https://t.co/rjcI0Cbsj0,analyse understand रहत irritants need removed impositio,neutral
@chetanbragta If u analyse then u will understand रहात irritants need to be removed such as imposition of hindi lan… https://t.co/cA21ZOw6cT,analyse understand रहत irritants need removed imposition hindi lan,neutral
@EasternRailway Why not the tweet in Bengali language... forceful imposition of Hindi by center is not acceptable,tweet bengali language forceful imposition hindi center acceptable,negative
"@ILogicianI @AbbakkaHypatia @Shudraism Hey Thanks for reference. I never knew this. If i known this movement, i wou… https://t.co/luQXyefUqr",hey thanks reference never knew known movement wou,neutral
@kkrishna112 Being a Kannadiga and who knows Hindi..I don't hate Hindi....I hate Hindi imposition in the southern a… https://t.co/aA1PdFLmU5,kannadiga knows hindii dont hate hindii hate hindi imposition southern,negative
Mullahs have this ability to fan regional and caste divide. For instance a Mullah from Southern states uses Urdu as… https://t.co/TNyQvQJhPJ,mullahs ability fan regional caste divide instance mullah southern states uses urdu,neutral
"@AbbakkaHypatia I as a tamil would say, because of the generational mistake, the hindi is imposed in Karnataka very… https://t.co/Ke7GWrj7PB",tamil would say generational mistake hindi imposed karnataka,neutral
"Why I never felt as proud Indian?? 
Because of this hindi imposition! 

Being regular tax payer union govt of India… https://t.co/GNTAffrwQQ",never felt proud indian hindi imposition regular tax payer union govt india,positive
@ZaaraBint I'd suggest just English &amp; Native language of the state.. Stop hindi imposition..,id suggest english amp native language state stop hindi imposition,neutral
